销售日期,单品编码,销售单价(元/千克),批发价格(元/千克),销量(千克)
2020-07-07,螺丝椒,14.0,8.08,11.96
2020-07-07,西兰花,14.0,9.16,23.05
2020-07-07,西峡香菇(1),19.8,12.0,14.533
2020-07-07,金针菇(1),7.6,4.05,16.797
2020-07-07,金针菇(袋)(1),3.1,1.64,1.0
2020-07-07,金针菇(袋)(1),3.5,1.64,3.0
2020-07-07,青尖椒,8.0,4.6,3.784
2020-07-07,青梗散花,9.0,5.44,22.699
2020-07-07,青线椒,12.0,6.6,4.226
2020-07-07,青茄子(1),4.0,2.05,17.512
2020-07-07,高瓜(1),10.0,5.46,3.117
2020-07-07,黄白菜(2),9.0,5.31,8.897
2020-07-08,七彩椒(1),14.0,8.42,1.08
2020-07-08,上海青,10.0,6.25,12.568999999999999
2020-07-08,云南油麦菜,6.0,3.75,9.732
2020-07-08,云南生菜,10.0,6.92,21.339
2020-07-08,净藕(1),16.0,9.0,8.239
2020-07-08,南瓜尖,8.0,4.59,4.875
2020-07-08,外地茼蒿,18.0,9.81,1.146
2020-07-08,大白菜,4.0,2.2,6.8100000000000005
2020-07-08,姬菇(1),14.0,7.87,0.908
2020-07-08,娃娃菜,4.8,4.11,1.0
2020-07-08,娃娃菜,5.3,4.11,1.0
2020-07-08,娃娃菜,6.0,4.11,1.0
2020-07-08,娃娃菜,6.1,4.11,1.0
2020-07-08,娃娃菜,6.2,4.11,2.0
2020-07-08,娃娃菜,6.9,4.11,0.0
2020-07-08,小白菜,16.0,10.42,5.33
2020-07-08,小米椒,25.8,11.54,3.165
2020-07-08,木耳菜,7.0,4.21,4.429
2020-07-08,杏鲍菇(1),10.0,6.13,12.148
2020-07-08,泡泡椒(精品),8.0,4.75,22.055
2020-07-08,海鲜菇(1),17.0,10.04,1.639
2020-07-08,灯笼椒(1),12.0,4.34,0.985
2020-07-08,甜白菜,8.0,4.44,15.712
2020-07-08,竹叶菜,6.0,3.02,7.9270000000000005
2020-07-08,紫茄子(2),6.7,5.23,0.576
2020-07-08,紫茄子(2),8.0,5.23,18.012
2020-07-08,红杭椒,16.0,6.2,2.697
2020-07-08,红椒(1),10.0,5.62,4.67
2020-07-08,红灯笼椒(1),18.0,12.22,1.859
2020-07-08,红薯尖,5.0,3.6,9.216
2020-07-08,红薯尖,6.0,3.6,9.769
2020-07-08,苋菜,6.0,3.24,9.079
2020-07-08,菜心,8.0,4.78,8.835
2020-07-08,螺丝椒,10.0,7.55,2.6470000000000002
2020-07-08,螺丝椒,14.0,7.55,17.396
2020-07-08,西兰花,14.0,9.09,24.641000000000002
2020-07-08,西峡香菇(1),19.8,12.0,14.827
2020-07-08,金针菇(1),7.6,4.05,14.446
2020-07-08,青尖椒,8.0,4.77,5.554
2020-07-08,青梗散花,9.0,5.27,20.792
2020-07-08,青线椒,12.0,7.17,3.7720000000000002
2020-07-08,青茄子(1),4.0,2.04,21.082
2020-07-08,高瓜(1),10.0,5.47,2.366
2020-07-08,黄心菜(1),8.0,4.39,6.102
2020-07-08,黄白菜(2),9.0,5.31,13.7
2020-07-09,七彩椒(1),14.0,7.92,0.379
2020-07-09,上海青,10.0,6.25,10.182
2020-07-09,云南油麦菜,6.0,3.75,14.213000000000001
2020-07-09,云南生菜,10.0,7.06,33.109
2020-07-09,外地茼蒿,18.0,9.8,1.123
2020-07-09,大白菜,4.0,2.15,23.142
2020-07-09,大龙茄子,12.0,4.07,7.755
2020-07-09,姬菇(1),14.0,7.85,1.3599999999999999
2020-07-09,娃娃菜,6.9,4.09,9.0
2020-07-09,小白菜,16.0,10.42,3.761
2020-07-09,小米椒,25.8,10.2,1.875
2020-07-09,木耳菜,7.0,4.22,4.013
2020-07-09,杏鲍菇(1),10.0,6.12,10.299
2020-07-09,泡泡椒(精品),8.0,4.75,31.46
2020-07-09,海鲜菇(1),17.0,10.03,1.5430000000000001
2020-07-09,灯笼椒(1),12.0,4.34,1.252
2020-07-09,甜白菜,8.0,4.44,13.772
2020-07-09,竹叶菜,6.0,2.84,17.546
2020-07-09,紫茄子(2),8.0,5.3,9.949
2020-07-09,红杭椒,16.0,6.26,1.888
2020-07-09,红椒(1),10.0,5.52,3.924
2020-07-09,红灯笼椒(1),18.0,12.24,0.156
2020-07-09,红薯尖,6.0,3.6,19.198
2020-07-09,苋菜,5.0,3.08,9.78
2020-07-09,菜心,0.3,4.77,0.288
2020-07-09,菜心,8.0,4.77,8.397
2020-07-09,螺丝椒,14.0,7.25,9.917
2020-07-09,西兰花,14.0,9.03,25.205000000000002
2020-07-09,西峡香菇(1),19.8,12.0,10.544
2020-07-09,金针菇(1),7.6,4.05,14.091
2020-07-09,青尖椒,8.0,4.81,3.058
2020-07-09,青梗散花,9.0,5.21,15.926
2020-07-09,青线椒,12.0,7.26,4.951
2020-07-09,青茄子(1),4.0,2.04,8.217
2020-07-09,高瓜(1),10.0,5.47,2.106
2020-07-09,黄心菜(1),8.0,4.46,11.616999999999999
2020-07-09,黄白菜(2),9.0,5.31,8.298
2020-07-10,七彩椒(1),14.0,7.35,1.052
2020-07-10,上海青,8.6,6.25,0.21
2020-07-10,上海青,10.0,6.25,12.567
2020-07-10,云南油麦菜,5.5,3.75,0.97
2020-07-10,云南油麦菜,6.0,3.75,27.308
2020-07-10,云南生菜,9.1,7.07,0.511
2020-07-10,云南生菜,9.3,7.07,0.241
2020-07-10,云南生菜,10.0,7.07,12.83
2020-07-10,净藕(1),15.1,9.0,0.244
2020-07-10,净藕(1),16.0,9.0,6.2059999999999995
2020-07-10,外地茼蒿,18.0,9.81,0.835
2020-07-10,大白菜,3.6,2.1,0.854
2020-07-10,大白菜,4.0,2.1,15.905
2020-07-10,大龙茄子,10.8,8.11,0.376
2020-07-10,大龙茄子,12.0,8.11,6.67
2020-07-10,姬菇(1),13.0,7.86,0.193
2020-07-10,姬菇(1),14.0,7.86,1.272
2020-07-10,娃娃菜,5.8,4.06,1.0
2020-07-10,娃娃菜,6.3,4.06,1.0
2020-07-10,娃娃菜,6.4,4.06,1.0
2020-07-10,娃娃菜,6.5,4.06,2.0
2020-07-10,娃娃菜,6.9,4.06,9.0
2020-07-10,小白菜,14.4,10.43,0.332
2020-07-10,小白菜,14.7,10.43,0.382
2020-07-10,小白菜,16.0,10.43,7.114
2020-07-10,小米椒,23.2,10.2,0.097
2020-07-10,小米椒,23.8,10.2,0.252
2020-07-10,小米椒,25.8,10.2,3.486
2020-07-10,木耳菜,6.5,4.23,0.358
2020-07-10,木耳菜,7.0,4.23,2.02
2020-07-10,杏鲍菇(1),9.1,6.11,0.231
2020-07-10,杏鲍菇(1),9.5,6.11,0.15
2020-07-10,杏鲍菇(1),10.0,6.11,11.098
2020-07-10,泡泡椒(精品),9.0,5.42,0.411
2020-07-10,泡泡椒(精品),9.1,5.42,0.2
2020-07-10,泡泡椒(精品),9.2,5.42,0.311
2020-07-10,泡泡椒(精品),10.0,5.42,20.532
2020-07-10,海鲜菇(1),16.8,9.94,0.161
2020-07-10,海鲜菇(1),18.0,9.94,1.697
2020-07-10,牛首油菜,3.2,2.01,0.538
2020-07-10,甜白菜,7.3,5.29,0.201
2020-07-10,甜白菜,8.0,5.29,13.133
2020-07-10,竹叶菜,4.0,2.62,9.55
2020-07-10,竹叶菜,5.2,2.62,0.385
2020-07-10,竹叶菜,5.5,2.62,0.9530000000000001
2020-07-10,竹叶菜,6.0,2.62,8.396
2020-07-10,紫茄子(2),7.2,5.5,0.714
2020-07-10,紫茄子(2),7.3,5.5,1.165
2020-07-10,紫茄子(2),7.4,5.5,0.991
2020-07-10,紫茄子(2),8.0,5.5,12.919
2020-07-10,红杭椒,13.5,6.11,0.088
2020-07-10,红杭椒,16.0,6.11,1.7530000000000001
2020-07-10,红椒(1),9.0,5.51,0.2
2020-07-10,红椒(1),10.0,5.51,2.4050000000000002
2020-07-10,红薯尖,3.4,3.6,0.518
2020-07-10,红薯尖,5.5,3.6,0.301
2020-07-10,红薯尖,6.0,3.6,16.458
2020-07-10,苋菜,4.5,2.41,0.623
2020-07-10,苋菜,4.7,2.41,0.482
2020-07-10,苋菜,5.0,2.41,5.964
2020-07-10,菜心,7.2,4.76,0.702
2020-07-10,菜心,7.3,4.76,0.313
2020-07-10,菜心,7.6,4.76,0.576
2020-07-10,菜心,8.0,4.76,9.916
2020-07-10,螺丝椒,10.8,7.32,0.167
2020-07-10,螺丝椒,11.3,7.32,0.451
2020-07-10,螺丝椒,12.0,7.32,20.721
2020-07-10,蟹味菇(2),3.5,1.96,4.0
2020-07-10,西兰花,12.6,8.82,0.372
2020-07-10,西兰花,13.0,8.82,0.816
2020-07-10,西兰花,13.1,8.82,0.401
2020-07-10,西兰花,13.2,8.82,0.243
2020-07-10,西兰花,14.0,8.82,26.1
2020-07-10,西峡香菇(1),13.6,12.0,0.169
2020-07-10,西峡香菇(1),14.4,12.0,0.207
2020-07-10,西峡香菇(1),14.6,12.0,0.096
2020-07-10,西峡香菇(1),15.2,12.0,0.269
2020-07-10,西峡香菇(1),16.0,12.0,1.9829999999999999
2020-07-10,西峡香菇(1),18.0,12.0,0.046
2020-07-10,西峡香菇(1),18.1,12.0,0.177
2020-07-10,西峡香菇(1),18.7,12.0,0.136
2020-07-10,西峡香菇(1),18.9,12.0,0.167
2020-07-10,西峡香菇(1),19.8,12.0,6.92
2020-07-10,金针菇(1),7.6,4.05,0.414
2020-07-10,金针菇(1),8.0,4.05,12.043
2020-07-10,青尖椒,8.0,4.83,2.933
2020-07-10,青梗散花,2.4,4.7,0.451
2020-07-10,青梗散花,7.2,4.7,0.727
2020-07-10,青梗散花,7.3,4.7,1.2149999999999999
2020-07-10,青梗散花,7.4,4.7,0.614
2020-07-10,青梗散花,7.5,4.7,0.338
2020-07-10,青梗散花,8.0,4.7,31.067
2020-07-10,青线椒,11.8,7.87,0.093
2020-07-10,青线椒,14.0,7.87,3.784
2020-07-10,青茄子(1),3.6,2.1,0.452
2020-07-10,青茄子(1),4.0,2.1,14.573
2020-07-10,高瓜(1),10.0,5.44,2.575
2020-07-10,黄心菜(1),7.2,4.46,0.539
2020-07-10,黄心菜(1),7.5,4.46,0.489
2020-07-10,黄心菜(1),8.0,4.46,1.755
2020-07-10,黄白菜(2),7.6,5.31,0.379
2020-07-10,黄白菜(2),9.0,5.31,11.225
2020-07-11,七彩椒(1),12.6,8.3,0.222
2020-07-11,七彩椒(1),14.0,8.3,1.3800000000000001
2020-07-11,上海青,9.2,6.25,0.21
2020-07-11,上海青,9.5,6.25,0.862
2020-07-11,上海青,9.6,6.25,0.441
2020-07-11,上海青,10.0,6.25,20.957
2020-07-11,东门口小白菜,6.8,4.32,0.589
2020-07-11,东门口小白菜,7.0,4.32,0.238
2020-07-11,东门口小白菜,7.1,4.32,0.238
2020-07-11,东门口小白菜,7.5,4.32,0.7150000000000001
2020-07-11,东门口小白菜,8.0,4.32,8.21
2020-07-11,云南油麦菜,3.5,3.75,0.385
2020-07-11,云南油麦菜,3.8,3.75,0.435
2020-07-11,云南油麦菜,4.2,3.75,0.201
2020-07-11,云南油麦菜,4.8,3.75,0.334
2020-07-11,云南油麦菜,5.2,3.75,0.368
2020-07-11,云南油麦菜,5.3,3.75,1.054
2020-07-11,云南油麦菜,5.4,3.75,1.238
2020-07-11,云南油麦菜,5.6,3.75,0.351
2020-07-11,云南油麦菜,5.7,3.75,0.8360000000000001
2020-07-11,云南油麦菜,5.8,3.75,0.619
2020-07-11,云南油麦菜,6.0,3.75,42.764
2020-07-11,云南生菜,4.6,7.03,0.401
2020-07-11,云南生菜,7.9,7.03,0.21
2020-07-11,云南生菜,8.5,7.03,0.16
2020-07-11,云南生菜,8.8,7.03,0.381
2020-07-11,云南生菜,9.1,7.03,0.16
2020-07-11,云南生菜,9.4,7.03,0.301
2020-07-11,云南生菜,10.0,7.03,18.45
2020-07-11,净藕(1),14.4,9.0,0.827
2020-07-11,净藕(1),14.9,9.0,0.401
2020-07-11,净藕(1),15.4,9.0,0.294
2020-07-11,净藕(1),16.0,9.0,5.942
2020-07-11,外地茼蒿,13.2,10.61,0.556
2020-07-11,外地茼蒿,18.0,10.61,6.047
2020-07-11,大白菜,2.8,2.1,0.503
2020-07-11,大白菜,4.0,2.1,7.162
2020-07-11,姬菇(1),14.0,7.86,1.803
2020-07-11,娃娃菜,6.1,4.04,1.0
2020-07-11,娃娃菜,6.5,4.04,2.0
2020-07-11,娃娃菜,6.9,4.04,13.0
2020-07-11,小白菜,14.6,10.38,0.313
2020-07-11,小白菜,14.7,10.38,0.626
2020-07-11,小白菜,14.9,10.38,0.313
2020-07-11,小白菜,15.4,10.38,0.282
2020-07-11,小白菜,16.0,10.38,6.209
2020-07-11,小米椒,16.3,10.2,0.047
2020-07-11,小米椒,22.4,10.2,0.035
2020-07-11,小米椒,22.7,10.2,0.276
